,Name,Price,Cuisine,Award,City,Country,Price Level,City Population,,PERCANTAGE OF AWARDS,,,PERCENTAGE OF PRICE LEVEL,
200,Lakeside,€,Modern Cuisine,2,Hamburg,Germany,4,1845229,,,,,,
201,sein,€,Modern Cuisine,2,Karlsruhe,Germany,4,283799,,,,,,
202,Lorenz Adlon Esszimmer,€,Creative,2,Berlin,Germany,4,3426354,,,,,,
203,Le Cerf,€,Classic French,2,Zweiflingen,Germany,4,1716,,,,,,
204,Horv√°th,€,Creative,2,Berlin,Germany,4,3426354,,,,,,
205,Alex Dilling at Hotel Caf√© Royal,£,Modern French,2,London,United Kingdom,4,1869,,,,,,
206,Ynyshir,£,Creative,2,Machynlleth,United Kingdom,4,2235,,,,,,
207,The Ledbury,£,Modern Cuisine,2,London,United Kingdom,4,1869,,,,,,
208,Da Terra,£,Creative,2,London,United Kingdom,4,1869,,,,,,
209,A. Wong,£,Chinese,2,London,United Kingdom,4,1869,,,,,,
210,"Le Manoir aux Quat' Saisons, a Belmond Hotel",£,French,2,Great Milton,United Kingdom,4,,,,,,,
211,Hand and Flowers,£,Modern British,2,Marlow,United Kingdom,4,18261,,,,,,
212,Midsummer House,£,Creative,2,Cambridge,United Kingdom,4,1830,,,,,,
213,Le Gavroche,£,French,2,London,United Kingdom,4,1869,,,,,,
214,Andrew Fairlie at Gleneagles,£,Modern French,2,Auchterarder,United Kingdom,4,4620,,,,,,
215,Raby Hunt,£,Modern British,2,Summerhouse,United Kingdom,4,0,,,,,,
216,Restaurant Sat Bains,£,Creative,2,Nottingham,United Kingdom,4,3942,,,,,,
217,Dinner by Heston Blumenthal,£,Traditional British,2,London,United Kingdom,4,1869,,,,,,
218,Patrick Guilbaud,$,Modern French,2,Dublin City,Ireland,4,,,,,,,
219,Ikoyi,£,Creative,2,London,United Kingdom,4,1869,,,,,,
220,The Clove Club,£,Creative,2,London,United Kingdom,4,1869,,,,,,
221,Kitchen Table,£,Modern Cuisine,2,London,United Kingdom,4,1869,,,,,,
222,Claude Bosi at Bibendum,£,French,2,London,United Kingdom,4,1869,,,,,,
223,Moor Hall,£,Modern British,2,Aughton,United Kingdom,4,,,,,,,
224,Liath,$,Creative,2,Blackrock,Ireland,4,8821,,,,,,
225,Story,£,Modern Cuisine,2,London,United Kingdom,4,1869,,,,,,
