Name	Price	Cuisine	Award	City	Country	Price Level
a|o|c	€	Modern Cuisine	2	Copenhagen	Denmark	4
Alchemist	€	Innovative	2	Copenhagen	Denmark	4
Koan	€	Creative	2	Copenhagen	Denmark	4
Aloë	€	Creative	2	Stockholm	Sweden	4
Vollmers	€	Contemporary	2	Malmo	Sweden	4
Palace	€	Modern Cuisine	2	Helsinki	Finland	4
KOKS	€	Creative	2	Leynavatn	Denmark	4
Frederikshøj	€	Creative	2	Aarhus	Denmark	4
Trèsind Studio	$	Indian	2	Dubai		4
Il Ristorante-Niko Romito	$	Italian	2	Dubai		4
STAY by Yannick Alléno	$	French	2	Dubai		4
akordu	¥	Innovative	2	Nara	Japan	3
Oryori Hanagaki	¥	Japanese	2	Nara	Japan	3
Tsukumo	¥	Japanese	2	Nara	Japan	3
NARA NIKON	¥	Japanese	2	Nara	Japan	3
Rùn	$	Cantonese	2	Hong Kong		3
Octavium	$	Italian	2	Hong Kong		3
Mizumi (Macau)	$	Japanese	2	Macau		4
Wing Lei	$	Cantonese	2	Macau		3
Alain Ducasse at Morpheus	$	French Contemporary	2	Macau		4
Lung King Heen	$	Cantonese	2	Hong Kong		3
Bo Innovation	$	Innovative	2	Hong Kong		4
Sichuan Moon	$	Sichuan	2	Macau		4
Sun Tung Lok	$	Cantonese	2	Hong Kong		2
L'Envol	$	French Contemporary	2	Hong Kong		4
Tin Lung Heen	$	Cantonese	2	Hong Kong		3
Tate	$	Innovative	2	Hong Kong		4
Amber	$	French Contemporary	2	Hong Kong		4
Lai Ching Heen	$	Cantonese	2	Hong Kong		3
Arbor	$	Innovative	2	Hong Kong		3
Ying Jee Club	$	Cantonese	2	Hong Kong		2
Flore	€	Contemporary	2	Amsterdam	Netherlands	4
Julemont	€	Modern French	2	Wittem	Netherlands	4
De Bokkedoorns	€	Modern Cuisine	2	Overveen	Netherlands	4
De Lindenhof	€	Creative	2	Giethoorn	Netherlands	4
Tribeca	€	Creative	2	Heeze	Netherlands	4
De Lindehof	€	Creative	2	Nuenen	Netherlands	4
De Treeswijkhoeve	€	Creative	2	Waalre	Netherlands	4
Fred	€	Creative French	2	Rotterdam	Netherlands	4
Aan de Poel	€	Creative	2	Amstelveen	Netherlands	4
Ciel Bleu	€	Creative	2	Amsterdam	Netherlands	4
Restaurant 212	€	Creative	2	Amsterdam	Netherlands	4
Spectrum	€	Creative	2	Amsterdam	Netherlands	4
Parkheuvel	€	Modern Cuisine	2	Rotterdam	Netherlands	4
Brut172	€	Creative	2	Reijmerstok	Netherlands	4
FG - François Geurds	€	Creative	2	Rotterdam	Netherlands	4
AUGUST	€	Creative	2	Augsburg	Germany	4
Hirschen	€	Classic French	2	Sulzburg	Germany	4
Atelier	€	Creative French	2	Munich	Germany	4
